id,display_name,works_count,type,alternate_titles
S45331193,Journal of Intelligent Material Systems and Structures,4786,journal,JIMSS
S111367495,Journal of Material Cycles and Waste Management,1955,journal,
S105347196,International Journal of Material Forming,1744,journal,
S179822231,Journal of Material Culture,595,journal,
S37840076,Wood Material Science and Engineering,780,journal,Wood material science and engineering
S2764480520,Journal of Material Sciences & Engineering,3144,journal,JME
S144112324,Material Religion,1068,journal,
S825966,Jsme International Journal Series A-solid Mechanics and Material Engineering,766,journal,"Japan Society Mechanical Engineers international journal. Series A, Solid mechanics and material engineering (Online)"
S2764524608,Material Sciences,1092,journal,Materials sciences
S4210173573,High temperature material processes,906,journal,
S4306519314,Material stage,1159,journal,
S2764520392,Ordnance Material Science and Engineering,1997,journal,
S29114012,Restaurator-international Journal for The Preservation of Library and Archival Material,1059,journal,Restaurator (Berlin. Print)
S4210192902,Material Science Research India,684,journal,
S2765040980,Curriculum，Teaching Material and Method,1431,journal,
S4306530003,Silicone Material,738,journal,
S4210202460,Material design & processing communications,259,journal,Material design and processing communications
S2764690688,Automobile Technology & Material,817,journal,
S2754954786,Hospital material management,722,journal,
S54944477,High Temperature Material Processes,156,journal,
S2898220205,"Journal of University of Science and Technology Beijing, Mineral, Metallurgy, Material",397,journal,Beijing Keji Daxue xuebao.
S4306519294,Material flow,183,journal,
S2764925385,Chinese Journal of Material Research,981,journal,
S2739195881,Anais do Museu Paulista: História e Cultura Material,702,journal,Annaes do Museu Paulista
S4210231836,Energy material advances,76,journal,Nengyuan cailiao qianyan
S2764494008,Superhard Material Engineering,518,journal,
S198975824,"Packaging, Transport, Storage and Security of Radioactive Material",439,journal,"Packaging, transport, storage, and security of radioactive material"
S4306519289,Material Culture Review / Revue de la culture matérielle,1007,journal,
S4306552068,月刊Material Stage,557,journal,
S4210185754,Research and reviews: journal of material sciences,723,journal,
S88278773,Material Und Organismen,156,journal,
S2764549848,"JSME international journal. Series A, mechanics and material engineering",313,journal,
S4306519295,Material flow = マテリアルフロー,346,journal,
S4210237300,Material science & engineering international journal,197,journal,MSEIJ
S4210224531,Advanced material science,59,journal,AMS
S2764587734,Material culture,157,journal,
S4210210093,Modeling and Numerical Simulation of Material Science,108,journal,Modeling & Numerical Simulation of Material Science
S194022404,Journal of The Korean Institute of Electrical and Electronic Material Engineers,622,journal,
S4210196913,Shikizai Kyōkaishi,5067,journal,Journal of the Japan Society of Colour Material
S4306523402,"PROCEEDINGS OF ADVANCED MATERIAL, ENGINEERING & TECHNOLOGY",278,journal,
S4306423184,"International conference Material Science,Smart Structures and Applications",284,conference,
S4306523285,PROCEEDING OF INTERNATIONAL CONFERENCE ON RECENT TRENDS IN APPLIED PHYSICS AND MATERIAL SCIENCE: RAM 2013,591,journal,
S4306524233,Proceedings of the Korean Institute of Electrical and Electronic Material Engineers Conference,598,journal,
S4210236020,International journal of material science,96,journal,IJMSCI
S4306531958,THE 14TH INTERNATIONAL ESAFORM CONFERENCE ON MATERIAL FORMING: ESAFORM 2011,215,journal,
S2764467163,"Journal of Nuclear Physics, Material Sciences, Radiation and Applications",263,journal,
S4210194576,Manufacturing engineering and material processing,202,journal,
S4306498343,"2018 International Conference on Computer, Communication, Chemical, Material and Electronic Engineering (IC4ME2)",117,journal,
S4210178610,i-manager's journal on material science,207,journal,
S4210217443,Juniper online journal material science,118,journal,JOJMS
S4306516232,전기전자재료학회논문지 = Journal of the Korean institute of electronic material engineers,426,journal,
S4210218439,Open Material Sciences,30,journal,
S4306500789,Advances in Heterogeneous Material Mechanics 2011,226,journal,
S2734718484,"West 86th: A Journal of Decorative Arts, Design History, and Material Culture",377,journal,W 86th
S2764647093,The reports of Institute of Advanced Material Study Kyushu University,242,journal,"Reports of Institute of Advanced Material Study, Kyushu University"
